Column1;ID;NUMERO;NOMBRE;DIRECCION;BARRIO;COMUNA;EMPLAZAMIENTO;ANCLAJES;Lat;Lon
312;496;52;CAMPANA II;Cochrane 3298 (y Campana);VILLA PUEYRREDON;COMUNA 12;VEREDA;12;-34,583;-58,5131
204;373;265;PLAZA EXODO JUJEÑO;2812 Liverpool;PARQUE CHAS;COMUNA 15;CALZADA;16;-34,5826;-58,481
67;89;89;CABELLO;3082 Cabello;PALERMO;COMUNA 14;CALZADA;20;-34,5825;-58,4054
184;229;243;PLAZOLETA CELEDONIO FLORES;6599 Cordoba;CHACARITA;COMUNA 15;PLAZOLETA;12;-34,5817;-58,4516
232;400;313;DE LOS INCAS;Avenida de los Incas 4138;VILLA ORTUZAR;COMUNA 15;CALZADA;16;-34,5816;-58,4747
86;77;109;ESTACION PUEYRREDON;Bolivia 5071;VILLA PUEYRREDON;COMUNA 12;VEREDA;16;-34,5811;-58,5015
83;461;106;MOSCONI Y CONSTITUYENTES;Av. Constituyente 4710;PARQUE CHAS;COMUNA 15;VEREDA;16;-34,5809;-58,4936
246;418;345;PLAZA MAFALDA;Conde & Cocepcion Arenal;COLEGIALES;COMUNA 13;VEREDA;20;-34,5809;-58,4446
5;5;5;PLAZA ITALIA;2601 Sarmiento Av.;PALERMO;COMUNA 14;VEREDA;42;-34,5808;-58,4204
99;124;124;UGARTECHE;3050 Ugarteche & Cabello;PALERMO;COMUNA 14;CALZADA;20;-34,5807;-58,4125
116;208;145;RAVIGNANI;1900 Ravignani, Emilio, Dr. & Costa Rica;PALERMO;COMUNA 14;CALZADA;20;-34,5803;-58,4378
297;472;310;FREIRE II;Capitan General Ramon Freire 100 y Concepcion Arenal;COLEGIALES;COMUNA 13;VEREDA;12;-34,5799;-58,4443
205;384;267;PLAZA 25 DE AGOSTO;1436 Giribone EX 14 De Julio 1194;VILLA ORTUZAR;COMUNA 15;PLAZOLETA;15;-34,5797;-58,4618
215;324;280;JURAMENTO;5209 Juramento;VILLA URQUIZA;COMUNA 12;CALZADA;16;-34,579;-58,4841
192;436;253;PLAZA COLEGIALES;3061 Matienzo;COLEGIALES;COMUNA 13;VEREDA;12;-34,5784;-58,4453
13;14;14;PACIFICO;550 Bullrich, Int. Av. & Santa Fe Av.;PALERMO;COMUNA 14;VEREDA;30;-34,5782;-58,4266
147;182;182;RAVIGNANI Y GUATEMALA;2185 Ravignani, Emilio, Dr. & Guatemala;PALERMO;COMUNA 14;CALZADA;20;-34,5781;-58,4351
126;156;156;PLAZA ALEMANIA;2939 Cavia & Del Libertador Av.;PALERMO;COMUNA 14;CALZADA;20;-34,5778;-58,4073
199;269;260;SAN MIGUEL DE GARICOITS;Delgado & Loreto, Virrey;COLEGIALES;COMUNA 13;PLAZA ABIERTA;18;-34,5772;-58,4576
80;242;103;MALBA;3051 San Martin De Tours & Figueroa Alcorta, Pres. Av.;PALERMO;COMUNA 14;CALZADA;20;-34,5771;-58,403
102;417;127;PLAZA LEONARDO N. ALEM;Cochrane 2407;VILLA PUEYRREDON;COMUNA 12;VEREDA;20;-34,5763;-58,5025
37;44;44;ECOPARQUE;3260 Del Libertador Av. & Sarmiento Av.;PALERMO;COMUNA 14;VEREDA;20;-34,5758;-58,4143
329;511;284;AVENIDA FOREST;Delgado 1569;VILLA ORTUZAR;COMUNA 15;VEREDA;15;-34,5753;-58,4628
45;58;58;MINISTRO CARRANZA;Santa Fe Av. & Dorrego;PALERMO;COMUNA 14;VEREDA;20;-34,5749;-58,4353
330;517;332;PACIFICO II;Av. Int. Bullrich 300;PALERMO;COMUNA 14;VEREDA;16;-34,5744;-58,4247
311;497;307;CERETTI;2892 Ceretti;VILLA URQUIZA ;COMUNA 12;VEREDA;12;-34,5743;-58,4961
331;518;329;LAS CAÑITAS;Clay 2818;PALERMO;COMUNA 14;VEREDA;7;-34,574;-58,4317
247;248;346;PLAZA ZAPIOLA;2001 Donado;VILLA URQUIZA;COMUNA 12;PLAZA ABIERTA;20;-34,5737;-58,4743
216;235;281;VILLA URQUIZA;Triunvirato Av. & Roosevelt Franklin D. Av.;VILLA URQUIZA;COMUNA 12;VEREDA;24;-34,5736;-58,4873
129;222;160;GODOY CRUZ Y LIBERTADOR;3279 Godoy Cruz & Del Libertador Av.;PALERMO;COMUNA 14;CALZADA;20;-34,5728;-58,4207
296;478;15;AMENABAR;Teodoro Garcia 2613 y Amenabar;COLEGIALES;COMUNA 13;VEREDA;12;-34,5719;-58,4475
202;383;263;PLAZA ECHEVERRIA;Nahuel Huapi & Triunvirato Av.;VILLA URQUIZA;COMUNA 12;PLAZA CERRADA;16;-34,5717;-58,4897
241;210;335;GENERAL URQUIZA;Figueroa Alcorta, Pres. Av. & Sarmiento Av.;PALERMO;COMUNA 14;PLAZA ABIERTA;20;-34,5713;-58,4119
203;257;264;PLAZA MARCOS SASTRE;Miller & Monroe;VILLA URQUIZA;COMUNA 12;PLAZA ABIERTA;24;-34,5711;-58,4809
179;349;232;SUCRE Y MARTINEZ;3517 Sucre;BELGRANO;COMUNA 13;CALZADA;20;-34,5705;-58,4662
328;506;40;PARQUE SALGUERO;Av. Costa Salguero 1222;PALERMO;COMUNA 14;VEREDA;24;-34,5694;-58,3993
197;361;258;PLAZA J.J. PASO;1399 Moldes;COLEGIALES;COMUNA 13;CALZADA;20;-34,5691;-58,4538
258;408;364;CERRETTI Y MANUELA PEDRAZA;Ceretti 3407;VILLA URQUIZA;COMUNA 12;CALZADA;16;-34,5691;-58,5003
143;177;177;PLANETARIO;Av. Roldan, Belisario y Av. Casares;PALERMO;COMUNA 14;VEREDA;7;-34,5682;-58,4123
198;230;259;PLAZA CASTELLI;3249 Echeverria;BELGRANO;COMUNA 13;PLAZA CERRADA;16;-34,5679;-58,4642
190;308;251;SOLAR DE LA ABADIA;1819 Maure;PALERMO;COMUNA 14;CALZADA;20;-34,5675;-58,437
183;355;242;PLAZOLETA RAFAEL DEL RIEGO;1327 O` Higgins;PALERMO;COMUNA 14;PLAZOLETA;16;-34,5674;-58,4464
201;362;262;HOLMBERG;2725 Holmberg;VILLA URQUIZA;COMUNA 12;CALZADA;16;-34,5667;-58,4791
213;386;277;COGHLAN;2647 Estomba;COGHLAN;COMUNA 12;VEREDA;8;-34,5658;-58,4755
242;258;336;LA PAMPA;2520 La Pampa & Ciudad De La Paz;BELGRANO;COMUNA 13;CALZADA;16;-34,5656;-58,4555
